id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA ticket P1: Phản hồi ban đầu 15 phút kể từ khi ticket được tạo; Xử lý và khắc phục 4 giờ. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All information in the answer regarding SLA for Ticket P1 (initial response time and resolution time) is directly and explicitly stated in the provided context under 'Ticket P1'.,5,"Câu trả lời cung cấp đầy đủ và trực tiếp thời gian SLA cho ticket P1, bao gồm cả thời gian phản hồi ban đầu và thời gian xử lý/khắc phục, đúng như câu hỏi yêu cầu.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm đủ tất cả điểm quan trọng trong expected_answer. Nó đề cập đến cả thời gian phản hồi ban đầu (15 phút) và thời gian xử lý/khắc phục (4 giờ), tương tự như expected_answer.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer states that customers can request a refund within 7 working days from the order confirmation. This information is directly and explicitly stated in the context under the conditions for refund: 'Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.',5,"Câu trả lời trực tiếp và đầy đủ thông tin về số ngày và thời điểm bắt đầu tính thời gian hoàn tiền, đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm đủ tất cả điểm quan trọng trong expected_answer. Nó hoàn toàn khớp với expected_answer, chỉ thêm một tham chiếu [1] không ảnh hưởng đến nội dung thông tin.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,Thông tin trong câu trả lời hoàn toàn khớp với phần 'Phê duyệt' của Level 3 trong ngữ cảnh đã cho.,5,"Câu trả lời trực tiếp và đầy đủ các đối tượng cần phê duyệt để cấp quyền Level 3, đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,No reasoning provided,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không [1]. Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Mọi thông tin trong câu trả lời đều được trích dẫn trực tiếp và chính xác từ ngữ cảnh đã cho. Cụ thể, ngữ cảnh nêu rõ: 'Ngoại lệ không được hoàn tiền: - Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription).'",5,"Câu trả lời trực tiếp và đầy đủ cho câu hỏi về việc sản phẩm kỹ thuật số có được hoàn tiền hay không, đồng thời cung cấp ví dụ cụ thể.",5,Retrieved: 1/1 expected sources,4,"Model Answer thiếu chi tiết ""Theo chính sách hoàn tiền"" so với Expected Answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Mọi thông tin trong câu trả lời đều được trích dẫn trực tiếp và chính xác từ ngữ cảnh đã cho.,5,"Câu trả lời trực tiếp và đầy đủ số lần đăng nhập sai dẫn đến khóa tài khoản, hoàn toàn khớp với câu hỏi.",5,Retrieved: 1/1 expected sources,5,Model Answer bao gồm đủ tất cả điểm quan trọng trong expected_answer. Cả hai câu trả lời đều nêu rõ tài khoản bị khóa sau '5 lần đăng nhập sai liên tiếp'.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút [3]. Ngoài ra, engineer có thể escalate ngay lập tức nếu cần hỗ trợ thêm trong quá trình xử lý [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"All information in the answer is directly supported by the provided context. The first part about P1 escalation is found under 'Ticket P1', and the second part about engineers escalating if needed is found under 'Bước 4: Xử lý'.",5,"Câu trả lời trực tiếp và đầy đủ giải thích cách thức escalation trong sự cố P1, bao gồm cả cơ chế tự động và khả năng escalate thủ công khi cần.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm tất cả các điểm quan trọng trong Expected Answer về việc tự động escalate của ticket P1: tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Model Answer còn bổ sung thêm thông tin về việc engineer có thể escalate ngay lập tức, nhưng điều này không làm giảm đi sự hoàn chỉnh so với Expected Answer.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu quy định Approval Matrix để cấp quyền hệ thống là `it/access-control-sop.md` [1, 2]. Tài liệu này phân cấp quyền truy cập và quy định các bên phê duyệt cho từng cấp độ quyền [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,3,"The answer correctly states that the document categorizes access levels and specifies approvers for each level, which is fully supported by the context. However, the document name `it/access-control-sop.md` is not mentioned anywhere in the provided context, making this specific detail ungrounded.",5,"Câu trả lời trực tiếp xác định tài liệu chứa Approval Matrix và mô tả ngắn gọn nội dung liên quan, trả lời đầy đủ câu hỏi.",5,Retrieved: 1/1 expected sources,4,"The model answer correctly identifies the current document by its file path (`it/access-control-sop.md`) and describes its purpose, which is the core of the question. However, it misses the specific detail provided in the expected answer about the document's previous name ('Approval Matrix for System Access') and its current official name ('Access Control SOP'), explicitly stating the name change. This is considered a small detail missing from the complete context provided by the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc có thể làm remote tối đa 2 ngày/tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer 'Nhân viên sau thời gian thử việc có thể làm remote tối đa 2 ngày/tuần' is directly and completely supported by the context: 'Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần'. 'Thời gian thử việc' is an accurate translation/interpretation of 'probation period'.,5,"Câu trả lời trực tiếp và đầy đủ thông tin về số ngày làm remote tối đa mỗi tuần, bao gồm cả điều kiện áp dụng.",5,Retrieved: 1/1 expected sources,4,Model Answer thiếu thông tin về điều kiện phê duyệt của Team Lead để làm remote.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không tìm thấy thông tin về lỗi ERR-403-AUTH trong ngữ cảnh được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer correctly states that the requested information (ERR-403-AUTH) is not found in the provided context. This is a completely faithful and accurate response based solely on the given context.,1,"Câu trả lời không cung cấp thông tin về lỗi ERR-403-AUTH cũng như cách xử lý, mà chỉ thông báo không tìm thấy thông tin. Do đó, nó không trả lời câu hỏi được đặt ra.",,No expected sources,3,Model Answer chỉ đề cập đến việc không tìm thấy thông tin. Nó thiếu hai điểm quan trọng từ Expected Answer: gợi ý về bản chất của lỗi (liên quan đến xác thực) và hướng dẫn cách xử lý (liên hệ IT Helpdesk).,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không, ngữ cảnh không tìm thấy chính sách đặc biệt nào cho việc hoàn tiền khẩn cấp cho khách hàng VIP [1, 2, 3]. Quy trình tiêu chuẩn là khách hàng gửi yêu cầu qua hệ thống ticket nội bộ, CS Agent xem xét trong 1 ngày làm việc, và Finance Team xử lý trong 3-5 ngày làm việc [1].","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"Mọi thông tin trong câu trả lời đều được tìm thấy hoặc được suy luận chính xác từ ngữ cảnh. Ngữ cảnh không đề cập đến chính sách hoàn tiền khẩn cấp hay cho khách hàng VIP, và câu trả lời đã phản ánh đúng điều này. Quy trình hoàn tiền tiêu chuẩn được mô tả trong câu trả lời hoàn toàn khớp với các bước trong ngữ cảnh.",5,"Câu trả lời trực tiếp phủ định việc có quy trình khác cho khách hàng VIP và giải thích rõ ràng rằng không có chính sách đặc biệt nào được tìm thấy. Sau đó, nó cung cấp quy trình tiêu chuẩn, làm cho câu trả lời đầy đủ và trực tiếp.",5,Retrieved: 1/1 expected sources,5,"Model Answer bao gồm tất cả các điểm quan trọng trong Expected Answer: không có quy trình đặc biệt cho khách hàng VIP, tất cả theo quy trình tiêu chuẩn, và thời gian xử lý là 3-5 ngày làm việc.",baseline_dense
